# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,98,"['7s', '5d']","['4d', '3s']","['Ad', '5s']",,,1,1
0,Pre-Flop,1,0,0,DISCARD,0,"['7s', '5d']","['4d', '3s']","['Ad', '5s']",,,2,2
0,Pre-Flop,1,0,0,FOLD,0,"['7s', '5d']","['6h', '3s']","['Ad', '5s']",,4d,2,2
1,Pre-Flop,1,2,-2,CALL,0,"['3d', '2s']","['9h', '4d']","['2h', '3s']",,,1,1
1,Pre-Flop,0,2,-2,RAISE,98,"['3d', '2s']","['9h', '4d']","['2h', '3s']",,,2,2
1,Pre-Flop,1,2,-2,DISCARD,0,"['3d', '2s']","['9h', '4d']","['2h', '3s']",,,2,2
1,Pre-Flop,1,2,-2,FOLD,0,"['3d', '2s']","['9h', '4h']","['2h', '3s']",,4d,2,2
2,Pre-Flop,0,4,-4,RAISE,98,"['4d', '3h']","['6h', '9d']","['Ad', '6s']",,,1,1
2,Pre-Flop,1,4,-4,CALL,0,"['4d', '3h']","['6h', '9d']","['Ad', '6s']",,,2,2
2,Flop,0,4,-4,CHECK,0,"['4d', '3h']","['6h', '9d']","['Ad', '6s', '8h']",,,100,100
2,Flop,1,4,-4,CHECK,0,"['4d', '3h']","['6h', '9d']","['Ad', '6s', '8h']",,,100,100
2,Turn,0,4,-4,CHECK,0,"['4d', '3h']","['6h', '9d']","['Ad', '6s', '8h', '5h']",,,100,100
2,Turn,1,4,-4,CHECK,0,"['4d', '3h']","['6h', '9d']","['Ad', '6s', '8h', '5h']",,,100,100
2,River,0,4,-4,CHECK,0,"['4d', '3h']","['6h', '9d']","['Ad', '6s', '8h', '5h', '5d']",,,100,100
2,River,1,4,-4,CHECK,0,"['4d', '3h']","['6h', '9d']","['Ad', '6s', '8h', '5h', '5d']",,,100,100
3,Pre-Flop,1,-96,96,CALL,0,"['6h', '2h']","['5d', '7h']","['3d', '5h']",,,1,1
3,Pre-Flop,0,-96,96,RAISE,98,"['6h', '2h']","['5d', '7h']","['3d', '5h']",,,2,2
3,Pre-Flop,1,-96,96,CALL,0,"['6h', '2h']","['5d', '7h']","['3d', '5h']",,,2,2
3,Flop,1,-96,96,CHECK,0,"['6h', '2h']","['5d', '7h']","['3d', '5h', '4d']",,,100,100
3,Flop,0,-96,96,CHECK,0,"['6h', '2h']","['5d', '7h']","['3d', '5h', '4d']",,,100,100
3,Turn,1,-96,96,CHECK,0,"['6h', '2h']","['5d', '7h']","['3d', '5h', '4d', 'Ad']",,,100,100
3,Turn,0,-96,96,CHECK,0,"['6h', '2h']","['5d', '7h']","['3d', '5h', '4d', 'Ad']",,,100,100
3,River,1,-96,96,CHECK,0,"['6h', '2h']","['5d', '7h']","['3d', '5h', '4d', 'Ad', '9d']",,,100,100
3,River,0,-96,96,CHECK,0,"['6h', '2h']","['5d', '7h']","['3d', '5h', '4d', 'Ad', '9d']",,,100,100
4,Pre-Flop,0,-196,196,RAISE,98,"['2h', 'Ah']","['3h', '3s']","['9h', '8d']",,,1,1
4,Pre-Flop,1,-196,196,DISCARD,0,"['2h', 'Ah']","['3h', '3s']","['9h', '8d']",,,2,2
4,Pre-Flop,1,-196,196,FOLD,0,"['2h', 'Ah']","['3h', '4d']","['9h', '8d']",,3s,2,2
5,Pre-Flop,1,-194,194,CALL,0,"['3h', '6h']","['2s', '3s']","['9d', '9s']",,,1,1
5,Pre-Flop,0,-194,194,RAISE,98,"['3h', '6h']","['2s', '3s']","['9d', '9s']",,,2,2
5,Pre-Flop,1,-194,194,DISCARD,0,"['3h', '6h']","['2s', '3s']","['9d', '9s']",,,2,2
5,Pre-Flop,1,-194,194,FOLD,0,"['3h', '6h']","['2s', '8s']","['9d', '9s']",,3s,2,2
